a	A:
aag	A: x
aai	A: i
aaklige	A: k l @ x @
aalmoese	A: l m u s @
aaltjie	A: l k i
aalwyn	A: l v @i n
aalwyne	A: l v @i n @
aambeie	A: m b @i @
aan	A: n
aanbetref	A: n b @ t r E f
aanbeveel	A: n b @ f i@ l
aanbeveling	A: n b @ f i@ l @ N
aanbevelinge	A: n b @ f i@ l @ N @
aanbevelings	A: n b @ f i@ l @ N s
aanbevole	A: n b @ f u@ l @
aanbid	A: n b @ t
aanbidders	A: n b @ d @ r s
aanbidding	A: n b @ d @ N
aanbied	A: n b i t
aanbieder	A: n b i d @ r
aanbieders	A: n b i d @ r s
aanbieding	A: n b i d @ N
aanbiedinge	A: n b i d @ N @
aanbiedings	A: n b i d @ N s
aanbiedingsmetodes	A: n b i d @ N s m @ t u@ d @ s
aanbiedingswyse	A: n b i d @ N s v @i s @
aanblaas	A: n b l A: s
aanbly	A: n b l @i
aanbod	A: n b O t
aanbodkromme	A: n b O t k r O m @
aanbou	A: n b @u
aanbouing	A: n b @u @ N
aanbreek	A: n b r i@ k
aanbring	A: n b r @ N
aandadig	A: n d A: d @ x
aandadigheid	A: n d A: d @ x h\ @i t
aandag	A: n d a x
aand	A: n t
aande	A: n d @
aandeel	A: n d i@ l
aandeelhouding	A: n d i@ l h\ @u d @ N
aandeelhoudings	A: n d i@ l h\ @u d @ N s
aandeelhouer	A: n d i@ l h\ @u @ r
aandeelhouers	A: n d i@ l h\ @u @ r s
aandeelhouersbelang	A: n d i@ l h\ @u @ r s b @ l a N
aandeelmark	A: n d i@ l m a r k
aandeelmarkte	A: n d i@ l m a r k t @
aandeelprys	A: n d i@ l p r @i s
aandeelpryse	A: n d i@ l p r @i s @
aandele	A: n d i@ l @
aandelebeleggings	A: n d i@ l @ b @ l { x @ N s
aandelebeurs	A: n d i@ l @ b 2: r s
aandelebeurse	A: n d i@ l @ b 2: r s @
aandelefonds	A: n d i@ l @ f O n t s
aandelekapitaal	A: n d i@ l @ k a p i t A: l
aandelemakelaar	A: n d i@ l @ m A: k @ l A: r
aandelemark	A: n d i@ l @ m a r k
aandelemarkte	A: n d i@ l @ m a r k t @
aandeleportefeulje	A: n d i@ l @ p O r t @ f y l j @
aandelepryse	A: n d i@ l @ p r @i s @
aandelesertifikate	A: n d i@ l @ s { r t i f i k A: t @
aandeletransaksies	A: n d i@ l @ t r a n s a k s i s
aandeletrusts	A: n d i@ l @ t r 9 s t s
aandenking	A: n d E N k @ N
aandenkings	A: n d E N k @ N s
aandete	A: n t i@ t @
aandetes	A: n t i@ t @ s
aandjie	A: i N k i
aandlug	A: n t l 9 x
aandoen	A: n d u n
aandra	A: n d r A:
aandrang	A: n d r a N
aandring	A: n d r @ N
aandryf	A: n d r @i f
aandrywing	A: n d r @i v @ N
aandui	A: n d 9y
aanduidend	A: n d 9y d @ n t
aanduider	A: n d 9y d @ r
aanduiders	A: n d 9y d @ r s
aanduiding	A: n d 9y d @ N
aanduidinge	A: n d 9y d @ N @
aanduidings	A: n d 9y d @ N s
aandurf	A: n d 9 r f
aaneen	A: n i@ n
aaneenflansing	A: n i@ n f l a n s @ N
aaneenlopend	A: n i@ n l u@ p @ n t
aaneenlopende	A: n i@ n l u@ p @ n d @
aangaan	A: n x A: n
aangaande	A: n x A: n d @
aangebied	A: n x @ b i t
aangebly	A: n x @ b l @i
aangebore	A: n x @ b u@ r @
aangebou	A: n x @ b @u
aangebreek	A: n x @ b r i@ k
aangebring	A: n x @ b r @ N
aangedaan	A: n x @ d A: n
aangedoen	A: n x @ d u n
aangedra	A: n x @ d r A:
aangedrewe	A: n x @ d r i@ v @
aangedring	A: n x @ d r @ N
aangedryf	A: n x @ d r @i f
aangedui	A: n x @ d 9y
aangeduide	A: n x @ d 9y d @
aangedurf	A: n x @ d 9 r f
aangee	A: n x i@
aangeë	A: n x i@ @
aangegaan	A: n x @ x A: n
aangegee	A: n x @ x i@
aangegryp	A: n x @ x r @i p
aangehaal	A: n x @ h\ A: l
aangehad	A: n x @ h\ A: t
aangehang	A: n x @ h\ a N
aangehardloop	A: n x @ h\ a r t l u@ p
aangeheg	A: n x @ h\ { x
aangehegte	A: n x @ h\ { x t @
aangehelp	A: n x @ h\ { l p
aangehits	A: n x @ h\ @ t s
aangehoor	A: n x @ h\ u@ r
aangehou	A: n x @ h\ @u
aangehoudene	A: n x @ h\ @u d @ n @
aangehoudenes	A: n x @ h\ @u d @ n @ s
aangejaagde	A: n x @ j A: x d @
aangekeer	A: n x @ k i@ r
aangeklaagde	A: n x @ k l A: x d @
aangeklaagdes	A: n x @ k l A: x d @ s
aangekla	A: n x @ k l A:
aangeklop	A: n x @ k l O p
aangeknoop	A: n x @ k n u@ p
aangekom	A: n x @ k O m
aangekondig	A: n x @ k O n d @ x
aangekoop	A: n x @ k u@ p
aangekyk	A: n x @ k @i k
aangeleenthede	A: n x @ l i@ n t h\ i@ d @
aangeleentheid	A: n x @ l i@ n t h\ @i t
aangeleer	A: n x @ l i@ r
aangeleerde	A: n x @ l i@ r d @
aangeloop	A: n x @ l u@ p
aangemaak	A: n x @ m A: k
aangemeld	A: n x @ m { l t
aangemelde	A: n x @ m { l d @
aangemoedig	A: n x @ m u d @ x
aangenaam	A: n x @ n A: m
aangename	A: n x @ n A: m @
aangenamer	A: n x @ n A: m @ r
aangeneem	A: n x @ n i@ m
aangenome	A: n x @ n u@ m @
aangepak	A: n x @ p a k
aangepas	A: n x @ p a s
aangepaste	A: n x @ p a s t @
aangeplant	A: n x @ p l a n t
aangepor	A: n x @ p O r
aangeraai	A: n x @ r A: i
aangeraak	A: n x @ r A: k
aangerand	A: n x @ r a n t
aangerig	A: n x @ r @ x
aangeroep	A: n x @ r u p
aangeroer	A: n x @ r u r
aangery	A: n x @ r @i
aangesien	A: n x @ s i n
aangesig	A: n x @ s @ x
aangesit	A: n x @ s @ t
aangeskaf	A: n x @ s k a f
aangeskakel	A: n x @ s k A: k @ l
aangeskrewe	A: n x @ s k r i@ v @
aangeslaan	A: n x @ s l A: n
aangeslane	A: n x @ s l A: n @
aangesluit	A: n x @ s l 9y t
aangespoor	A: n x @ s p u@ r
aangespreek	A: n x @ s p r i@ k
aangesprokene	A: n x @ s p r u@ k @ n @
aangestaar	A: n x @ s t A: r
aangesteek	A: n x @ s t i@ k
aangestel	A: n x @ s t { l
aangestelde	A: n x @ s t { l d @
aangestuur	A: n x @ s t y r
aangesuiwer	A: n x @ s 9y v @ r
aangetas	A: n x @ t a s
aangetaste	A: n x @ t a s t @
aangeteken	A: n x @ t i@ k @ n
aangetekende	A: n x @ t i@ k @ n d @
aangetoon	A: n x @ t u@ n
aangetoonde	A: n x @ t u@ n d @
aangetree	A: n x @ t r i@
aangetref	A: n x @ t r E f
aangetrek	A: n x @ t r { k
aangetrokkenheid	A: n x @ t r O k @ n h\ @i t
aangeval	A: n x @ f a l
aangevang	A: n x @ f a N
aangevoel	A: n x @ f u l
aangevoer	A: n x @ f u r
aangevoor	A: n x @ f u@ r
aangevra	A: n x @ f r A:
aangevul	A: n x @ f 9 l
aangevuur	A: n x @ f y r
aangewakker	A: n x @ v a k @ r
aangewend	A: n x @ v E n t
aangewese	A: n x @ v i@ s @
aangewys	A: n x @ v @i s
aangewysde	A: n x @ v @i s d @
aangrensend	A: n x r E n s @ n t
aangrensende	A: n x r E n s @ n d @
aangroei	A: n x r u i
aangryp	A: n x r @i p
aangrypend	A: n x r @i p @ n t
aangrypende	A: n x r @i p @ n d @
aanhaal	A: n h\ A: l
aanhaling	A: n h\ A: l @ N
aanhalings	A: n h\ A: l @ N s
aanhalingstekens	A: n h\ A: l @ N s t i@ k @ n s
aanhang	A: n h\ a N
aanhanger	A: n h\ a N @ r
aanhangers	A: n h\ a N @ r s
aanhangig	A: n h\ a N @ x
aanhangsel	A: n h\ a N s @ l
aanhangsels	A: n h\ a N s @ l s
aanhef	A: n h\ E f
aanheg	A: n h\ { x
aanhegting	A: n h\ { x t @ N
aanhelp	A: n h\ { l p
aanhits	A: n h\ @ t s
aanhitsing	A: n h\ @ t s @ N
aanhoor	A: n h\ u@ r
aanhou	A: n h\ @u
aanhoudend	A: n h\ @u d @ n t
aanhoudende	A: n h\ @u d @ n d @
aanhouding	A: n h\ @u d @ N
aanjaag	A: n j A: x
aanjaer	A: n j A: @ r
aankla	A: n k l A:
aanklaer	A: n k l A: @ r
aanklaers	A: n k l A: @ r s
aanklag	A: n k l a x
aanklagte	A: n k l a x t @
aanklank	A: n k l a N k
aanklop	A: n k l O p
aanknoop	A: n k n u@ p
aankom	A: n k O m
aankomelinge	A: n k u@ m @ l @ N @
aankomende	A: n k u@ m @ n d @
aankoms	A: n k O m s
aankondig	A: n k O n d @ x
aankondiging	A: n k O n d @ x @ N
aankondigings	A: n k O n d @ x @ N s
aankoop	A: n k u@ p
aankoopprys	A: n k u@ p r @i s
aankope	A: n k u@ p @
aankopers	A: n k u@ p @ r s
aankweek	A: n k w i@ k
aankyk	A: n k @i k
aanland	A: n l a n t
aanlê	A: n l E
aanleer	A: n l i@ r
aanleerproses	A: n l i@ r p r u s E s
aanleerstappe	A: n l i@ r s t a p @
aanleg	A: n l { x
aanlegontwerp	A: n l { x O n t v { r p
aanlegte	A: n l { x t @
aanleidende	A: n l @i d @ n d @
aanleiding	A: n l @i d @ N
aanliggende	A: n l @ x @ n d @
aanloklik	A: n l O k l @ k
aanloklike	A: n l O k l @ k @
aanloop	A: n l u@ p
aanloopbaan	A: n l u@ p b A: n
aanlyn	A: n l @i n
aanmaning	A: n m A: n @ N
aanmekaar	A: n m @ k A: r
aanmekaargeflansde	A: n m @ k A: r x @ f l a n s d @
aanmekaargesit	A: n m @ k A: r x @ s @ t
aanmeld	A: n m { l t
aanmelding	A: n m { l d @ N
aanmerking	A: n m { r k @ N
aanmerkings	A: n m { r k @ N s
aanmerklik	A: n m { r k l @ k
aanmoedig	A: n m u d @ x
aanmoediging	A: n m u d @ x @ N
aanname	A: n A: m @
aannames	A: n A: m @ s
aanneem	A: n i@ m
