aba	a . b a
abang	a . b a . ŋ
abela	a . b ɪ . l a
abelana	a . b ɪ . l a . n a
abelanang	a . b ɪ . l a . n a . ŋ
abelane	a . b ɪ . l a . n ɪ
abelaneng	a . b ɪ . l a . n ɪ . ŋ
abelang	a . b ɪ . l a . ŋ
abelanwang	a . b ɪ . l a . n w a . ŋ
abele	a . b ɪ . l ɪ
abelela	a . b ɪ . l ɪ . l a
abelwa	a . b ɪ . l w a
abelwang	a . b ɪ . l w a . ŋ
abelwe	a . b ɪ . l w ɪ
abeng	a . b ɪ . ŋ
abetse	a . b ɪ . t͡sʼ ɪ
abetseng	a . b ɪ . t͡sʼ ɪ . ŋ
abetswe	a . b ɪ . t͡sʼ w ɪ
abetsweng	a . b ɪ . t͡sʼ w ɪ . ŋ
abile	a . b i . l ɪ
abileng	a . b i . l ɪ . ŋ
abilwe	a . b i . l w ɪ
abilweng	a . b i . l w ɪ . ŋ
abiwa	a . b i . w a
abiwang	a . b i . w a . ŋ
adilweng	a . d i . l w ɪ . ŋ
adimana	a . d i . m a . n a
adimang	a . d i . m a . ŋ
adimilwe	a . d i . m i . l w ɪ
adimilweng	a . d i . m i . l w ɪ . ŋ
adimisana	a . d i . m i . s a . n a
adimisanang	a . d i . m i . s a . n a . ŋ
adimisang	a . d i . m i . s a . ŋ
adimisitseng	a . d i . m i . s i . t͡sʼ ɪ . ŋ
afe	a . f ɪ
aga	a . x a
agang	a . x a . ŋ
age	a . x ɪ
agegileng	a . x ɪ . x i . l ɪ . ŋ
agela	a . x ɪ . l a
agelang	a . x ɪ . l a . ŋ
agelela	a . x ɪ . l ɪ . l a
agelelang	a . x ɪ . l ɪ . l a . ŋ
ageletsweng	a . x ɪ . l ɪ . t͡sʼ w ɪ . ŋ
agelwa	a . x ɪ . l w a
ageng	a . x ɪ . ŋ
agetse	a . x ɪ . t͡sʼ ɪ
agetswe	a . x ɪ . t͡sʼ w ɪ
agile	a . x i . l ɪ
agileng	a . x i . l ɪ . ŋ
agilwe	a . x i . l w ɪ
agilweng	a . x i . l w ɪ . ŋ
agiseterata	a . x i . s ɪ . tʼ ɪ . r a . tʼ a
agiwa	a . x i . w a
agiwang	a . x i . w a . ŋ
aitshupe	a . i . t͡sʰ u . pʼ ɪ
akangwa	a . kʼ a . ŋ w a
akangwang	a . kʼ a . ŋ w a . ŋ
akangwe	a . kʼ a . ŋ w ɪ
akanngwa	a . kʼ a . n . ŋ w a
akanngwang	a . kʼ a . n . ŋ w a . ŋ
akanngwe	a . kʼ a . n . ŋ w ɪ
akantse	a . kʼ a . n . t͡sʼ ɪ
akantseng	a . kʼ a . n . t͡sʼ ɪ . ŋ
akantshisa	a . kʼ a . n . t͡sʰ i . s a
akantshiwang	a . kʼ a . n . t͡sʰ i . w a . ŋ
akantswe	a . kʼ a . n . t͡sʼ w ɪ
akantsweng	a . kʼ a . n . t͡sʼ w ɪ . ŋ
akanya	a . kʼ a . ɲ a
akanyang	a . kʼ a . ɲ a . ŋ
akanye	a . kʼ a . ɲ ɪ
akanyeditse	a . kʼ a . ɲ ɪ . d i . t͡sʼ ɪ
akanyeditswe	a . kʼ a . ɲ ɪ . d i . t͡sʼ w ɪ
akanyeditsweng	a . kʼ a . ɲ ɪ . d i . t͡sʼ w ɪ . ŋ
akanyediwa	a . kʼ a . ɲ ɪ . d i . w a
akanyediwang	a . kʼ a . ɲ ɪ . d i . w a . ŋ
akanyediwe	a . kʼ a . ɲ ɪ . d i . w ɪ
akanyeng	a . kʼ a . ɲ ɪ . ŋ
akanyetsa	a . kʼ a . ɲ ɪ . t͡sʼ a
akanyetseng	a . kʼ a . ɲ ɪ . t͡sʼ ɪ . ŋ
akanyetswa	a . kʼ a . ɲ ɪ . t͡sʼ w a
akaratsang	a . kʼ a . r a . t͡sʼ a . ŋ
akareditse	a . kʼ a . r ɪ . d i . t͡sʼ ɪ
akareditseng	a . kʼ a . r ɪ . d i . t͡sʼ ɪ . ŋ
akareditswe	a . kʼ a . r ɪ . d i . t͡sʼ w ɪ
akareditsweng	a . kʼ a . r ɪ . d i . t͡sʼ w ɪ . ŋ
akarediwa	a . kʼ a . r ɪ . d i . w a
akarediwang	a . kʼ a . r ɪ . d i . w a . ŋ
akarediwe	a . kʼ a . r ɪ . d i . w ɪ
akarediweng	a . kʼ a . r ɪ . d i . w ɪ . ŋ
akaretsa	a . kʼ a . r ɪ . t͡sʼ a
akaretsang	a . kʼ a . r ɪ . t͡sʼ a . ŋ
akaretse	a . kʼ a . r ɪ . t͡sʼ ɪ
akaretsega	a . kʼ a . r ɪ . t͡sʼ ɪ . x a
akaretseng	a . kʼ a . r ɪ . t͡sʼ ɪ . ŋ
akaretswa	a . kʼ a . r ɪ . t͡sʼ w a
akaretswe	a . kʼ a . r ɪ . t͡sʼ w ɪ
akeretsa	a . kʼ ɪ . r ɪ . t͡sʼ a
aketsa	a . kʼ ɪ . t͡sʼ a
akga	a . k͡x a
akgela	a . k͡x ɪ . l a
akgele	a . k͡x ɪ . l ɪ
akgola	a . k͡x ʊ . l a
akgolela	a . k͡x ʊ . l ɪ . l a
akgolelwa	a . k͡x ʊ . l ɪ . l w a
akgolwa	a . k͡x ʊ . l w a
akgotse	a . k͡x ʊ . t͡sʼ ɪ
akofa	a . kʼ ʊ . f a
ala	a . l a
alafa	a . l a . f a
ale	a . l ɪ
alefabete	a . l ɪ . f a . b ɪ . tʼ ɪ
alela	a . l ɪ . l a
alemanaka	a . l ɪ . m a . n a . kʼ a
alemanakeng	a . l ɪ . m a . n a . kʼ ɪ . ŋ
aleng	a . l ɪ . ŋ
alogile	a . l ʊ . x i . l ɪ
ama	a . m a
amana	a . m a . n a
amanang	a . m a . n a . ŋ
amane	a . m a . n ɪ
amaneng	a . m a . n ɪ . ŋ
amang	a . m a . ŋ
amanngwa	a . m a . n . ŋ w a
amanngwang	a . m a . n . ŋ w a . ŋ
amanya	a . m a . ɲ a
amanyang	a . m a . ɲ a . ŋ
amathaya	a . m a . tʰ a . j a
amegang	a . m ɪ . x a . ŋ
amegeng	a . m ɪ . x ɪ . ŋ
amegile	a . m ɪ . x i . l ɪ
amegileng	a . m ɪ . x i . l ɪ . ŋ
amele	a . m ɪ . l ɪ
ameng	a . m ɪ . ŋ
amile	a . m i . l ɪ
amileng	a . m i . l ɪ . ŋ
amilwe	a . m i . l w ɪ
amilweng	a . m i . l w ɪ . ŋ
amiwa	a . m i . w a
amiwang	a . m i . w a . ŋ
amoetswe	a . m ʊ . ɪ . t͡sʼ w ɪ
amoga	a . m ʊ . x a
amogana	a . m ʊ . x a . n a
amoganwang	a . m ʊ . x a . n w a . ŋ
amoganweng	a . m ʊ . x a . n w ɪ . ŋ
amoge	a . m ʊ . x ɪ
amogedisa	a . m ʊ . x ɪ . d i . s a
amogedisiwa	a . m ʊ . x ɪ . d i . s i . w a
amogela	a . m ʊ . x ɪ . l a
amogelang	a . m ʊ . x ɪ . l a . ŋ
amogele	a . m ʊ . x ɪ . l ɪ
amogelega	a . m ʊ . x ɪ . l ɪ . x a
amogelegang	a . m ʊ . x ɪ . l ɪ . x a . ŋ
amogelege	a . m ʊ . x ɪ . l ɪ . x ɪ
amogelegeng	a . m ʊ . x ɪ . l ɪ . x ɪ . ŋ
