ababalulekile	ababa{lulek}ile
ababanga	aba{b}anga
ababangamalungu	aba{bangamalungu}
ababangela	ababa{ngela}
ababasebenzelayo	ababa{sebenzela}yo
ababathandayo	ababa{thanda}yo
ababefunda	aba{befunda}
ababefundiswa	aba{befundiswa}
ababekade	aba{bekad}e
ababekhona	aba{bekhona}
ababenza	aba{benza}
ababenzayo	aba{benza}yo
ababesebenza	aba{besebenza}
ababesebenzisana	aba{besebenzis}ana
ababesekudingisweni	aba{besekudingisweni}
ababhala	aba{bhala}
ababhali	aba{bhali}
ababhalwe	aba{bhalw}e
ababheka	aba{bheka}
ababhekana	aba{bhek}ana
ababheke	aba{bhek}e
ababhekela	aba{bhekela}
ababhekele	aba{bhekel}e
ababhekene	aba{bheken}e
ababili	aba{bili}
ababona	ababo{na}
ababonakala	ababo{nakala}
ababone	ababo{n}e
abadala	aba{dala}
abadinga	aba{dinga}
abadingeka	aba{dingeka}
abadingekayo	aba{dingeka}yo
abadingekile	aba{dingek}ile
abadlala	aba{dlala}
abadlali	aba{dlali}
abadlula	aba{dlula}
abafana	aba{f}ana
abafanayo	aba{fana}yo
abafanele	aba{fanel}e
abafanelekile	aba{fanelek}ile
abafanelwe	aba{fanelw}e
abafazi	aba{fazi}
abafika	aba{fika}
abafike	aba{fik}e
abafisa	aba{fisa}
abafuna	aba{funa}
abafunda	aba{funda}
abafundayo	aba{funda}yo
abafunde	aba{fund}e
abafundela	aba{fundela}
abafundele	aba{fundel}e
abafundi	aba{fundi}
abafundile	aba{fund}ile
abafundisa	aba{fundisa}
abafundisayo	aba{fundisa}yo
abafundise	aba{fundis}e
abafundisi	aba{fundisi}
abafundisiwe	aba{fundisiw}e
abagcina	aba{gcina}
abagulayo	aba{gula}yo
abagxeki	aba{gxeki}
abahamba	aba{hamba}
abahambanga	aba{hamb}anga
abahambe	aba{hamb}e
abahambi	aba{hambi}
abahambisa	aba{hambisa}
abahambisana	aba{hambis}ana
abahambisani	a{bahambis}ani
abahlakaniphile	aba{hlakaniph}ile
abahlala	aba{hlala}
abahlale	aba{hlal}e
abahlalela	aba{hlalela}
abahlangana	aba{hlang}ana
abahlangene	aba{hlangen}e
abahlulekile	aba{hlulek}ile
abahlupheka	aba{hlupheka}
abahluphekayo	aba{hlupheka}yo
abahluphekile	aba{hluphek}ile
abahola	aba{hola}
abaholi	aba{holi}
abakhathazwa	aba{khathazwa}
abakhathele	aba{khathel}e
abakhethe	aba{kheth}e
abakhethekile	aba{khethek}ile
abakhethelwe	aba{khethelw}e
abakhethwa	aba{khethwa}
abakholwayo	aba{kholwa}yo
abakhombisa	aba{khombisa}
abakhona	aba{khona}
abakhulu	aba{khulu}
abakhuluma	aba{khuluma}
abakhulumeli	aba{khulumeli}
abakhulumi	aba{khulumi}
abakhuluphele	aba{khuluphel}e
abakubhekayo	abaku{bheka}yo
abakubo	aba{kubo}
abakudingekayo	abaku{dingeka}yo
abakufanele	abaku{fanel}e
abakufundayo	abaku{funda}yo
abakufundele	abaku{fundel}e
abakufundile	abaku{fund}ile
abakusebenzisayo	abaku{sebenzisa}yo
abakwamanye	abakwa{manye}
abakwazi	abakwa{zi}
abakwenza	aba{kwenza}
abakwenzayo	aba{kwenza}yo
abalaleli	aba{laleli}
abalandela	aba{landela}
abaleke	aba{lek}e
abalindelwe	abali{ndelw}e
abalingiswa	abali{ngiswa}
abalisebenzisayo	abali{sebenzisa}yo
abalobokazi	aba{lobo}kazi
abalulekile	abalu{lek}ile
abalusebenzisa	abalu{sebenzisa}
abalusebenzisayo	abalu{sebenzisa}yo
abalwenzayo	aba{lwenza}yo
abamaphakathi	abam{aphakathi}
abamaphephandaba	abam{aphephandaba}
abamele	abam{el}e
abamelwe	abam{elw}e
abamhlophe	abam{hloph}e
abanamandla	abanama{ndla}
abancane	aban{c}ane
abanda	aban{da}
abandayo	aba{nda}yo
abandisa	aban{disa}
abanegciwane	abane{gciw}ane
abanele	abane{le}
abanemisebenzi	abanemi{sebenzi}
abanezifunda	abanezi{funda}
abanga	abang{a}
abangaba	abanga{ba}
abangabalingani	abangaba{lingani}
abangabamba	abangaba{mba}
abangabambe	abangaba{mbe}
abangabamele	abangaba{mele}
abangabanikazi	abangaba{ni}kazi
abangabantu	abangaba{ntu}
abangabasebenzi	abangaba{sebenzi}
abangabasebenzisi	abangaba{sebenzisi}
